s.n,Reference,Feed type,Crop name,Plant part,Maturity,Location,Genus,Species,Scientific name,Country,DM,ADF,NDF,ADL,CP,OM,P,Ca,Na,Fe,K,Mg,Cu,Mn,Zn,IVDMD,ME,Neg,Nel,Nem,Feed Name
43,111517,Food crops: roots & tubers,Enset roots,Root,,Doyogena,Ensete,ventricosum,Ensete ventricosum,Ethiopia,91.1874466,22.3167038,36.7779999,3.3409033,4.310769375,91.8062897,,,,,,,,,,59.2138863,8.6300392,,,,Enset roots
44,34,Food crops: roots & tubers,Enset stem,Stem,,Doyogena,Ensete,ventricosum,Ensete ventricosum,Ethiopia,105,24.2749958,-2,4.3401718,3.125475625,90.563592,,,,,,,,,,52.8935089,7.6422014,,,,Enset stem
46,111520,"Food crops: cereals & legumes, residues",Lentil,,,Menz,Lens,culinaris,Lens culinaris,Ethiopia,92.5336761,27.9621067,34.416523,8.9505568,21.63255063,87.8273783,,,,,,,,,,62.8030128,8.6229391,,,,Lentil
47,111521,Kathekani,Wheat bran,,,Menz,Triticum,aestivum,Triticum aestivum,Ethiopia,92.1752243,13.5911131,44.3027802,3.596283,16.52175625,94.4910941,,,,,,,,,,69.2230606,10.0383711,,,,Wheat bran
48,111522,Concentrate feeds and agro-industrial by-products,Maize bran,,,Menz,Zea,mays,Zea mays,Ethiopia,91.7080307,14.2317829,44.8840027,4.2071185,7.020495625,98.5183594,,,,,,,,,,61.6492615,9.450923,,,,Maize bran
49,45,Concentrate feeds and agro-industrial by-products,Oat grain,Seed,,Menz,Avena,sativa,Avena sativa,Ethiopia,92.6464539,24.1761932,51.0962868,4.7319598,6.53721125,94.8341994,,,,,,,,,,55.0649452,8.148325,,,,Oat grain
110,111584,Maize,Lentil hull,Hull,,Sandafa bake(02kebele),Lens,culinaris,Lens culinaris,Ethiopia,92.3825836,57.5579987,68.2961884,13.9114285,11.70829313,96.3231297,,,,,,,,,,54.3975906,7.8067255,,,,Lentil hull
111,111585,"Food crops: cereals & legumes, residues",Bean hull,Hull,,Yeka (02kebele),Phaseolus,vulgaris,Phaseolus vulgaris,Ethiopia,92.5228271,55.2760239,56.5067062,8.0243168,8.05998375,95.1252847,,,,,,,,,,54.9743767,8.2301378,,,,Bean hull
115,1234789,"Food crops: cereals & legumes, residues",Bean hull,Hull,,Sandafa bake(Addis ketema),Phaseolus,vulgaris,Phaseolus vulgaris,Ethiopia,200,57.3149872,67.0091934,8.3578625,9.917061875,97.5563624,,,,,,,,,,53.9176521,8.1066694,,,,Bean hull
116,111590,"Food crops: cereals & legumes, residues",Lentil hull,Hull,,Sandafa bake (02 kebele),Lens,culinaris,Lens culinaris,Ethiopia,92.2294998,57.1445045,62.7241211,15.5054665,13.11468188,95.8121448,,,,,,,,,,54.2296295,7.6780581,,,,Lentil hull